	Stance
1352	NONE
1353	AGAINST
1354	AGAINST
1355	FAVOR
1356	FAVOR
1357	FAVOR
1358	AGAINST
1359	NONE
1360	FAVOR
1361	NONE
1362	FAVOR
1363	NONE
1364	FAVOR
1365	FAVOR
1366	AGAINST
1367	NONE
1368	AGAINST
1369	AGAINST
1370	NONE
1371	FAVOR
1372	AGAINST
1373	AGAINST
1374	AGAINST
1375	AGAINST
1376	AGAINST
1377	AGAINST
1378	AGAINST
1379	AGAINST
1380	AGAINST
1381	AGAINST
1382	AGAINST
1383	AGAINST
1384	AGAINST
1385	AGAINST
1386	AGAINST
1387	AGAINST
1388	AGAINST
1389	AGAINST
1390	AGAINST
1391	AGAINST
1392	AGAINST
1393	AGAINST
1394	AGAINST
1395	AGAINST
1396	AGAINST
1397	AGAINST
1398	AGAINST
1399	AGAINST
1400	AGAINST
1401	AGAINST
1402	AGAINST
1403	AGAINST
1404	AGAINST
1405	AGAINST
1406	AGAINST
1407	AGAINST
1408	AGAINST
1409	AGAINST
1410	AGAINST
1411	AGAINST
1412	AGAINST
1413	AGAINST
1414	AGAINST
1415	AGAINST
1416	AGAINST
1417	AGAINST
1418	AGAINST
1419	AGAINST
1420	AGAINST
1421	AGAINST
1422	AGAINST
1423	AGAINST
1424	AGAINST
1425	AGAINST
1426	AGAINST
1427	AGAINST
1428	AGAINST
1429	AGAINST
1430	AGAINST
1431	AGAINST
1432	AGAINST
1433	AGAINST
1434	AGAINST
1435	AGAINST
1436	AGAINST
1437	AGAINST
1438	AGAINST
1439	AGAINST
1440	AGAINST
1441	AGAINST
1442	AGAINST
1443	AGAINST
1444	AGAINST
1445	AGAINST
1446	AGAINST
1447	AGAINST
1448	AGAINST
1449	AGAINST
1450	AGAINST
1451	AGAINST
1452	AGAINST
1453	AGAINST
1454	AGAINST
1455	AGAINST
1456	AGAINST
1457	AGAINST
1458	AGAINST
1459	AGAINST
1460	AGAINST
1461	AGAINST
1462	AGAINST
1463	AGAINST
1464	AGAINST
1465	AGAINST
1466	AGAINST
1467	AGAINST
1468	AGAINST
1469	AGAINST
1470	AGAINST
1471	AGAINST
1472	AGAINST
1473	AGAINST
1474	AGAINST
1475	AGAINST
1476	AGAINST
1477	AGAINST
1478	AGAINST
1479	AGAINST
1480	AGAINST
1481	AGAINST
1482	AGAINST
1483	AGAINST
1484	AGAINST
1485	AGAINST
1486	AGAINST
1487	AGAINST
1488	AGAINST
1489	AGAINST
1490	AGAINST
1491	AGAINST
1492	AGAINST
1493	AGAINST
1494	AGAINST
1495	AGAINST
1496	AGAINST
1497	AGAINST
1498	AGAINST
1499	AGAINST
1500	AGAINST
1501	AGAINST
1502	AGAINST
1503	AGAINST
1504	AGAINST
1505	FAVOR
1506	FAVOR
1507	FAVOR
1508	AGAINST
1509	FAVOR
1510	FAVOR
1511	NONE
1512	AGAINST
1513	AGAINST
1514	AGAINST
1515	NONE
1516	AGAINST
1517	AGAINST
1518	AGAINST
1519	AGAINST
1520	AGAINST
1521	AGAINST
1522	AGAINST
1523	AGAINST
1524	AGAINST
1525	NONE
1526	NONE
1527	AGAINST
1528	FAVOR
1529	NONE
1530	AGAINST
1531	AGAINST
1532	NONE
1533	AGAINST
1534	FAVOR
1535	NONE
1536	NONE
1537	AGAINST
1538	NONE
1539	AGAINST
1540	FAVOR
1541	AGAINST
1542	AGAINST
1543	AGAINST
1544	AGAINST
1545	AGAINST
1546	AGAINST
1547	FAVOR
1548	AGAINST
1549	AGAINST
1550	AGAINST
1551	AGAINST
1552	AGAINST
1553	AGAINST
1554	AGAINST
1555	AGAINST
1556	AGAINST
1557	AGAINST
1558	AGAINST
1559	AGAINST
1560	AGAINST
1561	AGAINST
1562	AGAINST
1563	AGAINST
1564	AGAINST
1565	AGAINST
1566	AGAINST
1567	AGAINST
1568	AGAINST
1569	AGAINST
1570	AGAINST
1571	AGAINST
