	Stance
2338	NONE
2339	FAVOR
2340	NONE
2341	AGAINST
2342	AGAINST
2343	NONE
2344	NONE
2345	NONE
2346	AGAINST
2347	AGAINST
2348	FAVOR
2349	FAVOR
2350	AGAINST
2351	NONE
2352	AGAINST
2353	NONE
2354	AGAINST
2355	AGAINST
2356	NONE
2357	NONE
2358	FAVOR
2359	AGAINST
2360	AGAINST
2361	FAVOR
2362	FAVOR
2363	FAVOR
2364	AGAINST
2365	AGAINST
2366	AGAINST
2367	FAVOR
2368	AGAINST
2369	FAVOR
2370	AGAINST
2371	FAVOR
2372	AGAINST
2373	NONE
2374	NONE
2375	AGAINST
2376	FAVOR
2377	AGAINST
2378	AGAINST
2379	AGAINST
2380	AGAINST
2381	AGAINST
2382	AGAINST
2383	AGAINST
2384	NONE
2385	AGAINST
2386	AGAINST
2387	NONE
2388	AGAINST
2389	NONE
2390	NONE
2391	AGAINST
2392	FAVOR
2393	FAVOR
2394	NONE
2395	FAVOR
2396	FAVOR
2397	NONE
2398	FAVOR
2399	NONE
2400	NONE
2401	NONE
2402	FAVOR
2403	AGAINST
2404	NONE
2405	NONE
2406	FAVOR
2407	NONE
2408	AGAINST
2409	FAVOR
2410	NONE
2411	AGAINST
2412	AGAINST
2413	FAVOR
2414	NONE
2415	AGAINST
2416	FAVOR
2417	AGAINST
2418	FAVOR
2419	AGAINST
2420	AGAINST
2421	AGAINST
2422	AGAINST
2423	AGAINST
2424	AGAINST
2425	AGAINST
2426	AGAINST
2427	AGAINST
2428	AGAINST
2429	AGAINST
2430	AGAINST
2431	AGAINST
2432	AGAINST
2433	AGAINST
2434	AGAINST
2435	AGAINST
2436	AGAINST
2437	AGAINST
2438	AGAINST
2439	AGAINST
2440	AGAINST
2441	AGAINST
2442	NONE
2443	AGAINST
2444	AGAINST
2445	AGAINST
2446	NONE
2447	AGAINST
2448	AGAINST
2449	AGAINST
2450	AGAINST
2451	AGAINST
2452	AGAINST
2453	AGAINST
2454	AGAINST
2455	FAVOR
2456	NONE
2457	AGAINST
2458	AGAINST
2459	AGAINST
2460	AGAINST
2461	AGAINST
2462	AGAINST
2463	AGAINST
2464	AGAINST
2465	AGAINST
2466	AGAINST
2467	FAVOR
2468	AGAINST
2469	FAVOR
2470	FAVOR
2471	FAVOR
2472	AGAINST
2473	AGAINST
2474	AGAINST
2475	AGAINST
2476	FAVOR
2477	AGAINST
2478	AGAINST
2479	AGAINST
2480	AGAINST
2481	AGAINST
2482	AGAINST
2483	AGAINST
2484	NONE
2485	FAVOR
2486	NONE
2487	AGAINST
2488	NONE
2489	FAVOR
2490	AGAINST
2491	FAVOR
2492	AGAINST
2493	AGAINST
2494	AGAINST
2495	AGAINST
2496	AGAINST
2497	FAVOR
2498	NONE
2499	AGAINST
2500	AGAINST
2501	NONE
2502	NONE
2503	NONE
2504	AGAINST
2505	NONE
2506	AGAINST
2507	NONE
2508	NONE
2509	AGAINST
2510	AGAINST
2511	AGAINST
2512	NONE
2513	AGAINST
2514	NONE
2515	AGAINST
2516	NONE
2517	FAVOR
2518	AGAINST
2519	AGAINST
2520	AGAINST
2521	NONE
2522	NONE
2523	NONE
2524	NONE
2525	AGAINST
2526	FAVOR
2527	NONE
2528	AGAINST
2529	AGAINST
2530	NONE
2531	AGAINST
2532	NONE
2533	FAVOR
2534	AGAINST
2535	AGAINST
2536	AGAINST
2537	AGAINST
2538	AGAINST
2539	FAVOR
2540	NONE
2541	AGAINST
2542	FAVOR
2543	AGAINST
2544	AGAINST
2545	AGAINST
2546	AGAINST
2547	NONE
2548	AGAINST
2549	AGAINST
2550	FAVOR
2551	NONE
2552	NONE
2553	NONE
2554	AGAINST
2555	NONE
2556	AGAINST
2557	NONE
2558	NONE
2559	AGAINST
2560	NONE
2561	NONE
2562	NONE
2563	AGAINST
2564	AGAINST
2565	NONE
2566	NONE
2567	AGAINST
2568	NONE
2569	FAVOR
2570	NONE
2571	NONE
2572	AGAINST
2573	NONE
2574	AGAINST
2575	AGAINST
2576	FAVOR
2577	AGAINST
2578	AGAINST
2579	AGAINST
2580	NONE
2581	FAVOR
2582	NONE
2583	NONE
2584	AGAINST
2585	FAVOR
2586	AGAINST
2587	NONE
2588	NONE
2589	FAVOR
2590	AGAINST
2591	AGAINST
2592	AGAINST
2593	NONE
2594	AGAINST
2595	FAVOR
2596	FAVOR
2597	NONE
2598	FAVOR
2599	AGAINST
2600	AGAINST
2601	NONE
2602	AGAINST
2603	AGAINST
2604	NONE
2605	AGAINST
2606	NONE
2607	AGAINST
2608	NONE
2609	AGAINST
2610	NONE
2611	NONE
2612	NONE
2613	NONE
2614	NONE
2615	FAVOR
2616	NONE
2617	AGAINST
2618	AGAINST
2619	FAVOR
2620	AGAINST
2621	AGAINST
2622	NONE
2623	NONE
2624	FAVOR
2625	AGAINST
2626	AGAINST
2627	AGAINST
2628	AGAINST
2629	AGAINST
2630	NONE
2631	AGAINST
2632	AGAINST
2633	AGAINST
2634	NONE
2635	AGAINST
2636	FAVOR
2637	NONE
2638	FAVOR
2639	AGAINST
2640	NONE
2641	NONE
2642	AGAINST
2643	NONE
2644	AGAINST
2645	NONE
2646	NONE
2647	AGAINST
2648	AGAINST
2649	NONE
2650	NONE
2651	AGAINST
2652	NONE
2653	NONE
2654	AGAINST
2655	AGAINST
2656	AGAINST
2657	AGAINST
2658	NONE
2659	NONE
2660	NONE
2661	AGAINST
2662	NONE
2663	NONE
2664	NONE
2665	AGAINST
2666	NONE
2667	AGAINST
2668	AGAINST
2669	NONE
2670	AGAINST
2671	AGAINST
2672	NONE
2673	NONE
2674	AGAINST
2675	AGAINST
2676	AGAINST
2677	AGAINST
2678	AGAINST
2679	AGAINST
2680	NONE
2681	FAVOR
2682	AGAINST
2683	NONE
2684	AGAINST
2685	AGAINST
2686	AGAINST
2687	AGAINST
2688	NONE
2689	NONE
2690	FAVOR
2691	FAVOR
2692	AGAINST
2693	AGAINST
2694	NONE
2695	FAVOR
2696	FAVOR
2697	FAVOR
2698	AGAINST
2699	AGAINST
2700	FAVOR
2701	FAVOR
2702	FAVOR
2703	NONE
2704	FAVOR
2705	NONE
2706	NONE
2707	NONE
2708	FAVOR
2709	NONE
2710	NONE
2711	FAVOR
2712	AGAINST
2713	AGAINST
2714	AGAINST
2715	FAVOR
2716	AGAINST
2717	FAVOR
2718	FAVOR
2719	AGAINST
2720	FAVOR
2721	AGAINST
2722	NONE
2723	AGAINST
2724	FAVOR
2725	NONE
2726	FAVOR
2727	FAVOR
2728	FAVOR
2729	NONE
2730	NONE
2731	AGAINST
2732	FAVOR
2733	NONE
2734	AGAINST
2735	AGAINST
2736	AGAINST
2737	AGAINST
2738	AGAINST
2739	AGAINST
2740	AGAINST
2741	AGAINST
2742	AGAINST
2743	AGAINST
2744	AGAINST
2745	AGAINST
2746	AGAINST
2747	AGAINST
2748	AGAINST
2749	AGAINST
2750	AGAINST
2751	AGAINST
2752	AGAINST
2753	AGAINST
2754	AGAINST
2755	AGAINST
2756	AGAINST
2757	AGAINST
2758	AGAINST
2759	AGAINST
2760	AGAINST
2761	AGAINST
2762	AGAINST
2763	AGAINST
2764	AGAINST
2765	AGAINST
2766	AGAINST
2767	AGAINST
2768	AGAINST
2769	AGAINST
2770	AGAINST
2771	AGAINST
2772	AGAINST
2773	AGAINST
2774	AGAINST
2775	AGAINST
2776	AGAINST
2777	AGAINST
2778	AGAINST
2779	AGAINST
2780	AGAINST
2781	AGAINST
2782	AGAINST
2783	AGAINST
2784	AGAINST
2785	AGAINST
2786	AGAINST
2787	AGAINST
2788	AGAINST
2789	AGAINST
2790	AGAINST
2791	AGAINST
2792	AGAINST
2793	AGAINST
2794	AGAINST
2795	AGAINST
2796	AGAINST
2797	AGAINST
2798	AGAINST
2799	AGAINST
2800	AGAINST
2801	AGAINST
2802	AGAINST
2803	AGAINST
2804	AGAINST
2805	AGAINST
2806	AGAINST
2807	AGAINST
2808	AGAINST
2809	AGAINST
2810	AGAINST
2811	AGAINST
2812	AGAINST
2813	AGAINST
