	Stance
358	AGAINST
359	NONE
360	NONE
361	AGAINST
362	FAVOR
363	AGAINST
364	FAVOR
365	NONE
366	FAVOR
367	FAVOR
368	AGAINST
369	AGAINST
370	FAVOR
371	AGAINST
372	FAVOR
373	NONE
374	AGAINST
375	AGAINST
376	FAVOR
377	AGAINST
378	NONE
379	NONE
380	AGAINST
381	AGAINST
382	NONE
383	NONE
384	NONE
385	FAVOR
386	FAVOR
387	NONE
388	AGAINST
389	AGAINST
390	AGAINST
391	AGAINST
392	AGAINST
393	AGAINST
394	AGAINST
395	AGAINST
396	AGAINST
397	AGAINST
398	AGAINST
399	AGAINST
400	AGAINST
401	AGAINST
402	AGAINST
403	AGAINST
404	AGAINST
405	AGAINST
406	AGAINST
407	AGAINST
408	AGAINST
409	AGAINST
410	AGAINST
411	AGAINST
412	AGAINST
413	AGAINST
414	AGAINST
415	AGAINST
416	AGAINST
417	AGAINST
418	AGAINST
419	AGAINST
420	AGAINST
421	AGAINST
422	AGAINST
423	AGAINST
424	AGAINST
425	AGAINST
426	AGAINST
427	AGAINST
428	AGAINST
429	AGAINST
430	AGAINST
431	AGAINST
432	AGAINST
433	AGAINST
434	AGAINST
435	AGAINST
436	AGAINST
437	AGAINST
438	AGAINST
439	AGAINST
440	AGAINST
441	AGAINST
442	AGAINST
443	AGAINST
444	AGAINST
445	AGAINST
446	AGAINST
447	AGAINST
448	AGAINST
449	AGAINST
450	AGAINST
451	AGAINST
452	AGAINST
453	AGAINST
454	AGAINST
455	AGAINST
456	AGAINST
457	AGAINST
458	AGAINST
459	AGAINST
460	AGAINST
461	AGAINST
462	AGAINST
463	AGAINST
464	AGAINST
465	AGAINST
466	AGAINST
467	AGAINST
468	AGAINST
469	AGAINST
470	AGAINST
471	AGAINST
472	AGAINST
473	AGAINST
474	AGAINST
475	AGAINST
476	AGAINST
477	AGAINST
478	FAVOR
479	AGAINST
480	FAVOR
481	NONE
482	NONE
483	AGAINST
484	AGAINST
485	AGAINST
486	AGAINST
487	AGAINST
488	FAVOR
489	AGAINST
490	AGAINST
491	AGAINST
492	FAVOR
493	NONE
494	NONE
495	AGAINST
496	AGAINST
497	FAVOR
498	NONE
499	NONE
500	AGAINST
501	AGAINST
502	NONE
503	NONE
504	AGAINST
505	AGAINST
506	AGAINST
507	AGAINST
508	AGAINST
509	AGAINST
510	AGAINST
511	AGAINST
512	AGAINST
